,SE,SE,sigma_2,sigma_2
K_type,K_D,K_G,K_D,K_G
phenotype,,,,
bw,2.4068,4.6795,8.129999999999999,59.85470000000001
fat_mass,3.0728,4.9539,12.0579,59.5708
ffa,3.5971,6.207,10.764700000000001,39.036300000000004
ffp,5.7627999999999995,6.879300000000001,27.1021,44.878099999999996
ffp_percentage,6.1586,7.1798,29.0227,40.4086
free_fluid,2.9092,5.1735999999999995,8.0667,37.0346
gfp,3.3344,5.0552,12.884899999999998,60.278
gfp_percentage,3.2659000000000002,5.0227,12.203,60.20910000000001
glucose,5.2211,6.582000000000001,21.418799999999997,34.152100000000004
glucose_lc,4.7758,6.2625,19.6215,34.4713
hdl,1.8485,4.3799,4.8928,61.423700000000004
ldl_and_vldl,2.3325,4.9562,5.334499999999999,40.123599999999996
lean_mass,2.2009,4.3933,7.4959999999999996,63.8842
mfp,3.3256,5.4845,11.6056,48.71
mfp_percentage,3.5492999999999997,5.6334,12.154,45.293099999999995
nmr_bf_percentage,3.3006,5.0197,13.3493,60.3007
nmr_total_mass,3.2132,5.2351,12.7295,54.24909999999999
rfp,2.8423,5.0652,9.5958,55.7649
rfp_percentage,2.8208,5.2321,8.619,50.3253
spleen_wt,1.8942,4.6794,3.9510000000000005,55.0784
tc,1.6185999999999998,4.0280000000000005,4.4309,65.9684
tg,4.0607999999999995,5.7395000000000005,15.354499999999998,32.2769
uc,2.2893,4.8327,5.6267,56.480399999999996
