,lambda,lambda,lambda,lambda,lambda,lambda
K_type,Two RE,OLS,One RE,Two RE,OLS,One RE
QNormed,Not QNormed,Not QNormed,Not QNormed,QNormed,QNormed,QNormed
Phenotype,,,,,,
bw,1.4978639882498872,1.4902927615392374,2.0447605341066812,1.1797516979554599,3.3948422184681677,1.923780982102198
fat mass,1.4103472564469175,1.5053224817969786,1.8614748270663732,1.3813157148386732,2.9410065833828054,1.596819486209968
ffa,1.2088754863722544,1.8387361933180666,2.442036225876281,1.087526621691678,,1.5997247365998597
ffp,1.4327422687257703,1.9881210431449148,2.8814285444823216,1.23531055512923,2.239415450116036,2.181697358457429
ffp percentage,2.5194470429785993,2.580179125953475,2.883375653680838,1.069799037326674,1.7176214469868112,2.1546945308173377
free fluid,0.8732418453326458,0.8262142903414098,1.018695666935534,0.7345511845833387,7.381150397979629,1.0026034237063561
gfp,1.4716989548395591,1.2684546387361546,1.8070327137892435,1.3614486200177296,4.056568875536719,1.4461473893637227
gfp percentage,1.2181084073940003,,,1.2278284968174542,4.014192489768278,1.3315716274450378
glucose,1.5330992904409928,2.6032033616477537,,1.3607631624782348,3.8232966679959186,2.0517572744107957
glucose lc,1.6050873316157461,2.2209266130486434,4.336312257506577,1.3247086616197554,3.9741404576703436,1.713933581847535
hdl,0.9438963423240314,0.9783668604026464,1.508316439188125,1.020576388154186,7.601083371801503,1.4345031724565718
heart wt,,3.927622367033252e-07,,,,1.0922839830191318
ldl and vldl,1.0218509650030552,1.8326260000345296,1.958050020448474,1.32615911568287,8.464719840281726,2.470898004018121
lean mass,1.5316377896065263,1.6879160100768258,2.43552052951655,1.4647430191055466,4.644134720707061,2.239594982946357
mfp,1.7495653360910632,1.2019097368089158,1.9582504969610859,1.2536906390888005,4.333790838490723,1.3303179882610743
mfp percentage,1.0625075722756077,0.9846276592315818,1.4750707951396178,1.082833494800441,4.350753948088934,1.4378262659066008
nmr bf percentage,1.3346809809697988,,,1.3790891819876816,3.4100266943061177,1.7403030659731058
nmr total mass,1.4375949677241295,1.7524210471305426,,1.3891361113058986,3.2683435206129845,1.671708870685401
rfp,1.3195003749673762,,,1.1432698828263235,4.353304966368475,1.3949350854734726
rfp percentage,1.582544045265652,,,1.0213493843742552,4.690347218658191,1.4172481199623195
spleen wt,0.8924449460531582,,,1.0603383478684234,4.082637674971628,1.615764782877566
tc,0.7390152037915306,,,0.9351507093816543,9.770658739058012,1.7528273175250777
tg,1.5541303230212524,,,1.44721622549903,6.108678545514114,1.785822961490492
uc,1.755998115763977,,,1.9792252449787833,6.951880846874118,2.8458258789570343
